Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
065	0.701350	0.575765	0.500000	0.488747	0.717714	0.520833	0.500000	0.500000	0.500000	
066	0.712369	0.307015	0.500000	0.338326	0.582721	0.000000	0.500000	0.500000	0.500000	
067	0.700488	0.512552	0.500000	0.380056	0.781648	0.375951	0.500000	0.500000	0.500000	
068	0.704639	0.557610	0.500000	0.714099	0.580043	0.378687	0.500000	0.500000	0.500000	
069	0.737518	0.593128	0.500000	0.564801	0.638874	0.575707	0.500000	0.500000	0.500000	
070	0.684722	0.556919	0.500000	0.699913	0.602777	0.368069	0.500000	0.500000	0.500000	
071	0.743792	0.230141	0.500000	0.143801	0.383185	0.163436	0.500000	0.500000	0.500000	
072	0.731564	0.524930	0.500000	0.661878	0.683710	0.229201	0.500000	0.500000	0.500000	
073	0.737659	0.521506	0.500000	0.693928	0.661551	0.209038	0.500000	0.500000	0.500000	
074	0.732291	0.517900	0.500000	0.548715	0.649663	0.355324	0.500000	0.500000	0.500000	
075	0.699151	0.431884	0.500000	0.188184	0.556626	0.550843	0.500000	0.500000	0.500000	
076	0.723619	0.677847	0.500000	0.709909	0.731292	0.592340	0.500000	0.500000	0.500000	
077	0.745255	0.561749	0.500000	0.814883	0.642049	0.228315	0.500000	0.500000	0.500000	
078	0.699347	0.596639	0.500000	0.719688	0.674318	0.395910	0.500000	0.500000	0.500000	
079	0.726886	0.552779	0.500000	0.638597	0.695117	0.324624	0.500000	0.500000	0.500000	
080	0.729694	0.532198	0.500000	0.730541	0.589138	0.276914	0.500000	0.500000	0.500000	
081	0.734525	0.655405	0.500000	0.707610	0.669205	0.589400	0.500000	0.500000	0.500000	
082	0.732039	0.596410	0.500000	0.731944	0.725266	0.332021	0.500000	0.500000	0.500000	
083	0.739737	0.405415	0.500000	0.357080	0.706721	0.152443	0.500000	0.500000	0.500000	
084	0.731444	0.638292	0.500000	0.646364	0.756780	0.511731	0.500000	0.500000	0.500000	
085	0.732786	0.521997	0.500000	0.585454	0.594566	0.385972	0.500000	0.500000	0.500000	
086	0.728129	0.553582	0.500000	0.571811	0.700259	0.388677	0.500000	0.500000	0.500000	
087	0.741816	0.681398	0.500000	0.774399	0.731091	0.538704	0.500000	0.500000	0.500000	
088	0.716530	0.650598	0.500000	0.834830	0.633215	0.483750	0.500000	0.500000	0.500000	
089	0.739531	0.508631	0.500000	0.676322	0.465834	0.383736	0.500000	0.500000	0.500000	
090	0.748698	0.393283	0.500000	0.189603	0.682568	0.307678	0.500000	0.500000	0.500000	
091	0.756427	0.587128	0.500000	0.747837	0.493715	0.519832	0.500000	0.500000	0.500000	
092	0.758496	0.335952	0.500000	0.403293	0.537586	0.066977	0.500000	0.500000	0.500000	
093	0.721000	0.578832	0.500000	0.590741	0.567833	0.577923	0.500000	0.500000	0.500000	
094	0.754321	0.618040	0.500000	0.733564	0.668478	0.452080	0.500000	0.500000	0.500000	
095	0.745070	0.422886	0.500000	0.652230	0.462523	0.153905	0.500000	0.500000	0.500000	
096	0.696649	0.505451	0.500000	0.588381	0.608077	0.319896	0.500000	0.500000	0.500000	
097	0.740330	0.668420	0.500000	0.749659	0.767823	0.487777	0.500000	0.500000	0.500000	
098	0.741590	0.581466	0.500000	0.641376	0.732845	0.370176	0.500000	0.500000	0.500000	
