Epoch	Dice_Train	Dice_Val	AUC	Dice_11	Dice_22	Dice_33	AUC_1	AUC_2	AUC_3	
065	0.727828	0.470284	0.500000	0.498301	0.730855	0.181696	0.500000	0.500000	0.500000	
066	0.749887	0.518927	0.500000	0.663144	0.634958	0.258680	0.500000	0.500000	0.500000	
067	0.741135	0.504811	0.500000	0.574616	0.678024	0.261792	0.500000	0.500000	0.500000	
068	0.747238	0.636875	0.500000	0.790911	0.621708	0.498007	0.500000	0.500000	0.500000	
069	0.750350	0.495887	0.500000	0.575780	0.742528	0.169352	0.500000	0.500000	0.500000	
070	0.757730	0.475370	0.500000	0.778661	0.488348	0.159100	0.500000	0.500000	0.500000	
071	0.725671	0.602868	0.500000	0.791788	0.749873	0.266944	0.500000	0.500000	0.500000	
072	0.751355	0.532710	0.500000	0.672554	0.716246	0.209330	0.500000	0.500000	0.500000	
073	0.750654	0.415743	0.500000	0.422455	0.719466	0.105307	0.500000	0.500000	0.500000	
074	0.747436	0.567580	0.500000	0.751576	0.740420	0.210745	0.500000	0.500000	0.500000	
075	0.756157	0.570068	0.500000	0.758307	0.697612	0.254285	0.500000	0.500000	0.500000	
076	0.755465	0.504952	0.500000	0.658093	0.664477	0.192286	0.500000	0.500000	0.500000	
077	0.734410	0.588627	0.500000	0.807310	0.679869	0.278701	0.500000	0.500000	0.500000	
078	0.741533	0.511148	0.500000	0.638045	0.717721	0.177677	0.500000	0.500000	0.500000	
079	0.749909	0.496768	0.500000	0.527854	0.697241	0.265208	0.500000	0.500000	0.500000	
080	0.745309	0.509975	0.500000	0.657983	0.689438	0.182505	0.500000	0.500000	0.500000	
081	0.758710	0.494998	0.500000	0.663957	0.679912	0.141124	0.500000	0.500000	0.500000	
082	0.748765	0.468040	0.500000	0.484820	0.692343	0.226956	0.500000	0.500000	0.500000	
083	0.752359	0.576923	0.500000	0.786186	0.715965	0.228619	0.500000	0.500000	0.500000	
084	0.754043	0.484962	0.500000	0.585458	0.731430	0.137996	0.500000	0.500000	0.500000	
085	0.744927	0.588937	0.500000	0.758840	0.736990	0.270980	0.500000	0.500000	0.500000	
086	0.755492	0.323946	0.500000	0.064993	0.406495	0.500351	0.500000	0.500000	0.500000	
087	0.734243	0.571049	0.500000	0.711595	0.659187	0.342366	0.500000	0.500000	0.500000	
088	0.758352	0.449678	0.500000	0.640499	0.525141	0.183395	0.500000	0.500000	0.500000	
089	0.758185	0.397524	0.500000	0.429065	0.542711	0.220796	0.500000	0.500000	0.500000	
090	0.734280	0.552749	0.500000	0.701865	0.750064	0.206317	0.500000	0.500000	0.500000	
091	0.761433	0.553523	0.500000	0.669977	0.719589	0.271001	0.500000	0.500000	0.500000	
092	0.731685	0.407047	0.500000	0.611943	0.444776	0.164421	0.500000	0.500000	0.500000	
093	0.763406	0.513373	0.500000	0.653527	0.675005	0.211587	0.500000	0.500000	0.500000	
094	0.764695	0.474733	0.500000	0.641641	0.579783	0.202776	0.500000	0.500000	0.500000	
095	0.758357	0.519561	0.500000	0.675086	0.676301	0.207297	0.500000	0.500000	0.500000	
096	0.745941	0.549284	0.500000	0.766568	0.674851	0.206433	0.500000	0.500000	0.500000	
097	0.737772	0.528427	0.500000	0.714821	0.670317	0.200143	0.500000	0.500000	0.500000	
098	0.763291	0.491165	0.500000	0.680831	0.586193	0.206471	0.500000	0.500000	0.500000	
099	0.756445	0.505919	0.500000	0.516356	0.708290	0.293111	0.500000	0.500000	0.500000	
100	0.744180	0.427426	0.500000	0.445002	0.550469	0.286806	0.500000	0.500000	0.500000	
101	0.754903	0.589560	0.500000	0.745615	0.689055	0.334010	0.500000	0.500000	0.500000	
102	0.774706	0.530810	0.500000	0.597247	0.743921	0.251263	0.500000	0.500000	0.500000	
103	0.756361	0.515736	0.500000	0.515279	0.741690	0.290239	0.500000	0.500000	0.500000	
104	0.757798	0.415926	0.500000	0.542492	0.525543	0.179742	0.500000	0.500000	0.500000	
105	0.746892	0.515214	0.500000	0.639684	0.712106	0.193852	0.500000	0.500000	0.500000	
106	0.751462	0.422347	0.500000	0.579078	0.626920	0.061043	0.500000	0.500000	0.500000	
107	0.759361	0.471830	0.500000	0.658399	0.592494	0.164597	0.500000	0.500000	0.500000	
108	0.760889	0.520116	0.500000	0.696118	0.683043	0.181186	0.500000	0.500000	0.500000	
109	0.761069	0.533710	0.500000	0.714510	0.659119	0.227503	0.500000	0.500000	0.500000	
110	0.751264	0.533984	0.500000	0.709944	0.710089	0.181919	0.500000	0.500000	0.500000	
111	0.760458	0.476399	0.500000	0.477587	0.731681	0.219929	0.500000	0.500000	0.500000	
112	0.772012	0.579768	0.500000	0.719784	0.734662	0.284858	0.500000	0.500000	0.500000	
113	0.751529	0.514793	0.500000	0.540419	0.680335	0.323624	0.500000	0.500000	0.500000	
114	0.762814	0.474847	0.500000	0.664501	0.500470	0.259570	0.500000	0.500000	0.500000	
115	0.748451	0.530151	0.500000	0.734096	0.684671	0.171685	0.500000	0.500000	0.500000	
116	0.721706	0.538018	0.500000	0.638293	0.706462	0.269300	0.500000	0.500000	0.500000	
117	0.765884	0.541431	0.500000	0.743564	0.640121	0.240609	0.500000	0.500000	0.500000	
118	0.748086	0.530649	0.500000	0.729165	0.737939	0.124844	0.500000	0.500000	0.500000	
119	0.727130	0.476398	0.500000	0.663542	0.722942	0.042709	0.500000	0.500000	0.500000	
120	0.756301	0.549271	0.500000	0.757618	0.685145	0.205048	0.500000	0.500000	0.500000	
121	0.761414	0.533904	0.500000	0.794682	0.647777	0.159252	0.500000	0.500000	0.500000	
122	0.761847	0.466465	0.500000	0.580407	0.550860	0.268129	0.500000	0.500000	0.500000	
123	0.760541	0.430650	0.500000	0.455428	0.646789	0.189734	0.500000	0.500000	0.500000	
124	0.758562	0.516229	0.500000	0.752389	0.465376	0.330921	0.500000	0.500000	0.500000	
125	0.755819	0.433539	0.500000	0.464472	0.560435	0.275709	0.500000	0.500000	0.500000	
126	0.755699	0.563655	0.500000	0.741969	0.716411	0.232584	0.500000	0.500000	0.500000	
127	0.768437	0.498840	0.500000	0.561427	0.639359	0.295733	0.500000	0.500000	0.500000	
128	0.759644	0.499899	0.500000	0.622008	0.662316	0.215373	0.500000	0.500000	0.500000	
129	0.749867	0.494648	0.500000	0.698890	0.608584	0.176470	0.500000	0.500000	0.500000	
130	0.758635	0.476054	0.500000	0.685405	0.481168	0.261589	0.500000	0.500000	0.500000	
131	0.769951	0.543842	0.500000	0.640950	0.695331	0.295245	0.500000	0.500000	0.500000	
132	0.764660	0.541515	0.500000	0.663852	0.710772	0.249919	0.500000	0.500000	0.500000	
133	0.747586	0.522121	0.500000	0.777105	0.620460	0.168797	0.500000	0.500000	0.500000	
134	0.765043	0.441949	0.500000	0.490174	0.615946	0.219727	0.500000	0.500000	0.500000	
